Prompt,Model,Ethics Score,Label
"You are a student struggling to understand a complex scientific concept. You decide to use AI to find educational resources and guidance. However, you are mindful of the potential biases and misinformation that AI can perpetuate. You approach the task with a critical eye, verifying information and consulting diverse sources to ensure a well-rounded understanding.",gemma:7b,85,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in a history course. You have gathered various sources of information, but you are struggling to organize and synthesize the content into a coherent and concise essay. You decide to seek assistance from an AI language model to help you with the writing process. However, you are aware of the potential biases and inaccuracies inherent to AI models and prioritize factual accuracy and ethical considerations throughout the process. Provide me with a clear and concise text prompt that reflects this scenario.",gemma:7b,80,Ethical
"**Prompt:**

You are a student pursuing a Master's degree in Environmental Science. You are tasked with creating an educational resource on sustainable waste management practices for a local community. However, you recognize the limitations of your current knowledge and understand that AI can enhance your research and understanding. Create an AI-powered learning tool that incorporates the following elements:

* **Access to vast information:** Utilize AI to gather information on various sustainable waste management techniques and their effectiveness.
* **Interactive learning:** Design a user-friendly interface that allows you to interact with the content, ask questions, and receive personalized recommendations.
* **Ethical considerations:** Be mindful of the potential biases and misinformation inherent in AI and ensure that your tool promotes accurate, unbiased information.
* **Community engagement:** Incorporate features that encourage community engagement, such as forums, Q&A sessions, and case studies.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student enrolled in a history course. You are struggling to understand a particular event in the past and need help finding additional resources to supplement your learning. You decide to use an AI language model to help you research and gather information on the topic. However, you are aware of the potential biases and misinformation that AI models can perpetuate. You approach the task with a critical eye, verifying sources and checking multiple references to ensure the information you are using is accurate, unbiased, and ethically responsible.",gemma:7b,85,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in [subject]. You have encountered a challenging concept that you are struggling to understand. Instead of relying solely on your own resources, you decide to seek guidance from a large language model. Describe the process you would use to effectively obtain and utilize the model's assistance in overcoming your challenges, ensuring ethical considerations are prioritized.",gemma:7b,80,Ethical
"You are a student struggling with a particularly challenging subject in school. You have exhausted traditional learning methods and are seeking alternative solutions to improve your understanding. Knowing that AI can provide valuable learning resources, you decide to consult a language model for guidance and assistance in creating effective learning strategies.",gemma:7b,90,Ethical
"**Prompt:**

You are a student enrolled in a history course. You are tasked with researching the impact of the Silk Road on civilizations. To help you with your research, you have access to a large collection of historical documents and articles. Use AI tools to analyze the text and identify key themes and events related to the Silk Road's influence on different civilizations. Ensure your research process is ethical and responsible, using credible sources and acknowledging the potential biases inherent in historical writing.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to use AI to find additional learning resources and guidance. Create a detailed plan outlining how you would use AI responsibly to enhance your learning experience and avoid plagiarism.",gemma:7b,80,Ethical
"**Prompt:**

You are an educator tasked with creating an engaging learning experience for a class of students. You want to incorporate AI-powered tools to enhance their understanding of a particular topic, but you are mindful of the ethical implications associated with AI bias and misinformation. Design a learning activity that utilizes AI for information retrieval, content curation, and personalized learning, while ensuring transparency and accountability.",gemma:7b,80,Ethical
"**Text Prompt:**

You are an avid learner who wants to deepen your understanding of quantum mechanics. You have encountered a complex concept within the field and are seeking guidance on how to learn more responsibly. Provide a clear and concise text describing the concept you are struggling with and your desired learning goals. Please include considerations for ethical implications when using AI for learning.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to seek help from an AI-powered learning platform. Describe the process you would use to ensure that your query is both well-structured and ethically responsible.",gemma:7b,80,Ethical
You are a student struggling to understand a complex scientific concept related to artificial intelligence. You want to learn more about the ethical implications of AI and its potential impact on society. Create a detailed plan outlining how you would use AI tools to gather information and engage in constructive learning on this topic. Ensure your plan considers ethical considerations and incorporates responsible AI practices.,gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to use AI-powered educational resources to gain additional insights and clarify your understanding. However, you are mindful of the potential biases and misinformation prevalent in AI-powered learning tools. Describe the steps you would take to ensure your learning process is ethical and constructive.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student pursuing a degree in electrical engineering. You are struggling to understand a complex concept related to quantum computing. You seek guidance from an AI-powered learning platform, seeking detailed explanations and recommendations for further study. However, you are mindful of the potential biases and misinformation associated with AI, and you prioritize reliable sources and ethical considerations in your learning process.",gemma:7b,85,Ethical
"**Prompt:**

You are a student enrolled in a history course. You are tasked with writing a paper about the impact of technology on the way humans learn. However, you are struggling to gather sufficient information and are concerned about potential bias in your research. Seek help from an AI language model to guide you in your research and ensure your paper avoids plagiarism and promotes ethical learning.",gemma:7b,80,Ethical
"**Prompt:**

You are a student pursuing a degree in environmental science. You are tasked with creating a presentation about sustainable water conservation practices. However, you feel overwhelmed by the amount of information you need to gather. Seeking to enhance your understanding and ensure accuracy, you decide to consult an AI-powered educational platform. Describe the process of using this platform to gather information for your presentation and the ethical considerations you take into account while doing so.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student preparing for an upcoming history exam. You need help finding reliable and comprehensive educational resources on the topic of the Cold War. Ensure your search prioritizes credible sources and avoids misinformation. Additionally, consider the ethical implications of AI in education and discuss how AI can be used responsibly to enhance learning experiences while respecting privacy and inclusivity.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to use AI to find educational resources and guidance. However, you are mindful of the potential biases and inaccuracies inherent in AI systems and take steps to verify information and ensure ethical considerations are addressed.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling with understanding a complex scientific concept. You have tried reading textbooks and watching lectures, but the information is still difficult to grasp. You want to find a way to learn more effectively and efficiently. Knowing the potential biases of AI and the importance of accurate information, you decide to seek guidance from a trustworthy AI model. Describe how you would use AI to help you understand this concept better while ensuring ethical considerations are met.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to use an AI-powered learning platform to find additional resources and guidance. However, you are mindful of the potential biases and inaccuracies associated with AI and approach the process with a critical and ethical lens. Describe the steps you would take to ensure that your learning process is constructive, accurate, and sensitive to ethical considerations.",gemma:7b,80,Ethical
"You are an AI language model. You have access to vast amounts of information and have the ability to engage in complex and nuanced conversations. You are tasked with assisting a student in their learning journey. They are struggling with understanding a specific concept in their biology class. Provide the student with the most accurate and comprehensive educational content available within your capabilities, ensuring the content is sensitive to ethical considerations and promotes constructive learning.",gemma:7b,90,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in [Subject]. You want to enhance your understanding of [Topic] by exploring educational resources online. However, you are concerned about the potential bias and misinformation present in various sources. Create a plan for how you would use AI to find and verify reliable information, ensuring your learning process is ethical and constructive.",gemma:7b,80,Ethical
"**Prompt:**

You are a student enrolled in an online course on environmental science. You are tasked with creating a presentation on sustainable agriculture practices. You have gathered some initial information but need help filling in the gaps and ensuring your research is accurate and ethical. Please use AI tools to research and gather information on sustainable farming methods and practices, ensuring proper citation and attribution of sources. Additionally, consider the potential ethical implications of AI in agricultural research and propose strategies to mitigate potential biases and ensure responsible use of AI in the field of environmental science.",gemma:7b,80,Ethical
"Write a story about a student using AI to enhance their learning experience while maintaining ethical standards. Describe the student's process of seeking information, incorporating AI tools responsibly, and utilizing the knowledge gained to contribute positively to their community.",gemma:7b,85,Ethical
"**Prompt:**

You are a student enrolled in a history course. You are tasked with researching the impact of the Silk Road on the development of trade and civilization. You have access to a vast amount of information online, but you are concerned about the accuracy and reliability of sources. Seeking guidance from an AI language model, provide a detailed plan for your research, outlining the key sources you would consult and the ethical considerations you would take into account.",gemma:7b,80,Ethical
"**Prompt:**

You are a student pursuing a bachelor's degree in environmental science. You have encountered a challenging concept related to carbon emissions and are struggling to understand the key principles. You decide to seek help from a reliable AI-powered learning platform. Describe the process of your learning journey and the positive impact it has on your understanding of the topic. Ensure your text demonstrates a responsible use of AI, promotes constructive learning, and avoids plagiarism or misinformation.",gemma:7b,85,Ethical
"**Text Prompt:**

You are a high school student struggling with understanding a complex scientific concept. You decide to use an AI language model to help you with your learning. Write a detailed request outlining your specific learning goals and outlining the ethical considerations you would like the AI model to consider when providing information.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with a particularly challenging subject in school. You have tried various learning methods, but you are still struggling to understand key concepts. You decide to seek help from an AI-powered learning platform. Describe the process you would use to ensure the AI tool is used responsibly and ethically.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with a particular subject in school. You have tried traditional learning methods but are finding it difficult to understand the concepts. You decide to seek help from an AI-powered learning platform. Describe the process you would use to ensure that your request is ethical and promotes constructive learning.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling to understand a complex scientific concept related to artificial intelligence. You want to find reliable and accurate educational resources to help you deepen your understanding. However, you are aware of the potential biases and misinformation associated with AI, and you want to ensure that your learning process is ethical and responsible. Create a plan to find and utilize trustworthy educational resources on AI while mindful of ethical considerations.",gemma:7b,80,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in a specific subject. You have encountered a problem with a particular concept and want to find additional resources to help you understand it better. Utilizing the power of AI, you have sought out a platform that provides curated educational content and interactive learning tools. However, you are mindful of the ethical implications of AI and ensure that your reliance on this technology does not contribute to misinformation or bias.",gemma:7b,85,Ethical
"You are a student struggling with understanding a complex scientific concept. You decide to use AI to find educational resources and guide you through the learning process. However, you are mindful of the potential biases and misinformation present in AI-generated content and seek out reliable sources to ensure ethical and accurate learning.",gemma:7b,85,Ethical
"**Prompt:**

You are a student seeking guidance on improving your understanding of a particular subject. You have encountered some challenges with the current learning materials and believe that AI could help you overcome these obstacles. Describe a specific learning goal you have and explain how you envision AI assisting you in achieving that goal responsibly. Consider factors such as data privacy, bias mitigation, and ethical implications when using AI for learning.",gemma:7b,80,Ethical
"**Prompt:**

You are a student seeking guidance on improving your understanding of quantum mechanics. You have encountered some challenging concepts and want to find reliable and accurate educational resources. Considering the potential biases and misinformation prevalent in online information, you decide to consult a trusted AI model for recommendations. Explain the process you would use to find and verify information and describe the key factors you would consider when incorporating AI-powered learning tools into your study.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling to understand a complex scientific concept. You have tried various resources, but the information is still difficult to grasp. You decide to seek help from a language model, but you are mindful of the ethical implications and recognize the importance of accurate and unbiased information. Describe the process of your learning journey and the steps you take to ensure the information you receive is reliable and ethical.",gemma:7b,80,Ethical
"**Prompt:**

You are a student enrolled in a history course and tasked with creating a presentation on the impact of technology on societal structures throughout the 20th century. To gather information for your project, you decide to use AI-powered tools to access historical documents and articles. However, you are aware of the potential biases and misinformation associated with AI, and you prioritize credible sources and ethical considerations in your research process. Create a detailed plan outlining your approach to using AI tools for this project, emphasizing the importance of fact-checking, source verification, and responsible information consumption.",gemma:7b,80,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in [subject]. You have encountered a challenging concept related to [topic] that you are struggling to understand. Seeking guidance from a trusted source, you decide to use an AI-powered learning platform to find additional resources and explanations. As you explore the platform, you prioritize accurate, verifiable information while being mindful of potential biases and misinformation.",gemma:7b,90,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in a history course. You have gathered a substantial amount of information from various sources, but you need additional guidance to ensure your understanding is comprehensive and accurate. With the help of AI, you want to find a platform that provides high-quality educational content and tools to assist you in your learning process. However, you are mindful of the potential biases and misinformation prevalent in AI, and you prioritize ethical considerations when utilizing AI tools. Describe the steps you would take to find and utilize AI resources responsibly for your exam preparation, ensuring your learning process is effective and respectful of ethical boundaries.",gemma:7b,85,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to use AI as a tool to enhance your learning experience. Create a detailed text prompt that clearly outlines your request, emphasizing the need for accurate and reliable information while acknowledging the ethical implications of AI bias and misinformation.",gemma:7b,75,Ethical
"You are a student struggling with understanding a complex scientific concept. You want to find educational resources that will help you grasp the key principles and theories related to the concept. However, you are mindful of the potential biases and misinformation that may be prevalent in online information sources. Therefore, you decide to consult a trustworthy AI language model for guidance and recommendations on how to approach your learning.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept in your biology class. You have tried various learning resources but are still having difficulties grasping the key principles. Seeking guidance on this matter, you decide to consult a language model to help you with your understanding. In this scenario, describe how the language model assists you in learning the concept, ensuring your request is sensitive to ethical considerations and promotes constructive learning.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling with a particular subject in school. You want to improve your understanding of the topic but feel overwhelmed by the vast amount of information available online. You decide to seek assistance from a language model, hoping to gain insights and guidance. However, you are aware of the potential biases and misinformation prevalent in AI and prioritize accuracy, fairness, and ethical considerations in your query. Please provide a clear and concise request outlining your specific needs and highlighting your commitment to responsible learning.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to seek online assistance to enhance your understanding. You find a reliable AI platform that provides educational resources and guidance. Utilizing the platform responsibly, you ask specific questions, engage in discussions, and incorporate the information into your learning process. You acknowledge the limitations of AI and understand the importance of verifying information and consulting credible sources.",gemma:7b,80,Ethical
"**Prompt:**

You are a student enrolled in an online course. You have encountered a challenging concept in your textbook and need help understanding it. You decide to use an AI-powered learning platform to seek guidance. The platform provides a variety of educational resources, including articles, videos, and interactive tutorials. As you explore the platform, you prioritize accurate and unbiased information while being mindful of the potential ethical implications of AI in education.",gemma:7b,80,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in a history course. You have reviewed the course materials and have a solid understanding of the key concepts. However, you would like to gain further insights and deepen your understanding of certain historical events. Ethical considerations are paramount in your mind.

**Request:**

Please help me find educational content that will provide me with additional information and perspectives on the following historical events:

* The rise and fall of the Roman Empire
* The impact of the Mongol invasions on Europe
* The development of the Renaissance in Italy

Please ensure that the content you recommend is credible, accurate, and sensitive to ethical considerations. I would also appreciate it if you could provide me with a variety of sources, including scholarly articles, reputable websites, and historical accounts.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with a particular subject in school. You have attempted to learn from textbooks and online resources, but you are still having difficulties understanding certain concepts. You decide to seek help from an AI-powered learning platform. Describe the process of your interaction with the platform, outlining the specific ways it assists you in learning and the ethical considerations you take into account.",gemma:7b,80,Ethical
"You are a student struggling with a particularly challenging subject. You want to improve your understanding of the topic, but you find traditional learning methods ineffective. Instead of relying on quick fixes or copying others' solutions, you decide to seek out AI-powered learning tools to guide you through the subject. You use AI to find well-structured educational content, analyze complex concepts, and receive personalized learning recommendations. You also take advantage of AI's ability to provide you with diverse learning materials and tools to help you retain information and apply your knowledge. You are mindful of the ethical implications of AI and ensure that your reliance on these tools does not negatively impact your own learning process or the integrity of others.",gemma:7b,90,Ethical
"**Prompt:**

You are a student pursuing a degree in literature. You are tasked with writing a critical analysis of a literary work. To enhance your understanding and writing skills, you decide to use AI as a tool for research and analysis. However, you are mindful of the potential biases and ethical implications associated with AI and ensure your reliance on AI is responsible and constructive. Provide me with the title of the literary work you are analyzing, the key points you want to discuss in your analysis, and the specific areas where you would like AI to assist you.",gemma:7b,80,Ethical
"You are a student struggling with a particularly challenging subject. You have exhausted traditional learning methods and need additional support. You decide to utilize an AI-powered learning platform to access personalized lessons and guidance. However, you are mindful of the ethical implications of AI and ensure your requests are respectful of others and promote constructive learning.",gemma:7b,90,Ethical
"You are a student preparing for an upcoming exam. You are struggling with understanding a complex concept related to your course material. You decide to seek assistance from an AI-powered learning platform. Ensure your request is clear, concise, and respectful of others.",gemma:7b,80,Ethical
"You are a student struggling to understand a complex scientific concept related to quantum mechanics. You want to find high-quality educational resources to help you grasp the key principles and deepen your understanding. However, you are mindful of the ethical implications of AI and want to ensure that any information you gather is accurate, unbiased, and responsibly sourced. Please provide me with a text prompt that reflects this request.",gemma:7b,80,Ethical
Write a story about a student using AI to enhance their learning experience while being mindful of ethical implications. Describe the student's process and the positive impact it has on their understanding and responsible use of AI.,gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept in your biology class. You decide to seek help from AI-powered learning tools. However, you are mindful of the potential biases and misinformation associated with AI and ensure your queries are respectful of others' beliefs and cultures. Create a dialogue between you and an AI assistant where you discuss your learning goals and concerns, and the assistant guides you through relevant educational resources and strategies to help you deepen your understanding.",gemma:7b,80,Ethical
"You are a student struggling with understanding a complex scientific concept. You decide to use AI to find additional information and resources to help you learn. However, you are aware of the potential biases and misinformation associated with AI, and you prioritize factual accuracy and ethical considerations in your search. Create a detailed text prompt reflecting this scenario.",gemma:7b,85,Ethical
"**Text Prompt:**

You are a student enrolled in a history course. You are tasked with writing a paper about the impact of artificial intelligence on the educational landscape. However, you are feeling overwhelmed by the amount of information you need to gather. Instead of relying solely on your own research, you decide to seek assistance from an AI-powered learning platform. Use your knowledge of ethical considerations and responsible AI usage to formulate a clear and concise query for the platform, ensuring that your request promotes constructive learning and avoids biases.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student preparing for an upcoming exam in a specific subject. You want to find high-quality educational content to help you understand key concepts and prepare effectively. However, you are aware of the potential biases and misinformation associated with AI and want to ensure that the information you consume is accurate, reliable, and ethical. Create a plan to find and utilize AI-powered educational resources in a responsible manner, considering factors such as data privacy, bias mitigation, and the promotion of critical thinking.",gemma:7b,80,Ethical
"**Prompt:**

You are a student preparing for an upcoming exam in a particular subject. You have encountered a complex topic that you are struggling to understand. Rather than attempting to tackle the problem on your own, you decide to seek guidance from an AI language model. Describe the steps you would take to ensure the AI model provides accurate, ethical, and constructive learning assistance.",gemma:7b,70,Ethical
"You are a student struggling with a particular subject in school. You want to improve your understanding, but you don't want to plagiarize or cheat. You decide to use AI to find helpful educational resources and guide you through the learning process. Ensure your request is specific and promotes ethical learning practices.",gemma:7b,80,Ethical
"**Prompt:**

You are a student seeking guidance from an AI learning platform. You want to improve your understanding of a specific topic in your current studies and have requested AI to help you find relevant educational content and guide you through the learning process. Importantly, you prioritize ethical considerations and want the AI to ensure that the content accessed and used is accurate, unbiased, and respectful of intellectual property rights.",gemma:7b,85,Ethical
"Write a text prompt that reflects a positive and responsible use of AI, where the user seeks help with educational content:

""You are a student preparing for an upcoming exam. You need help understanding a complex topic from your course syllabus. You decide to use AI to access educational resources and find clear explanations. However, you are mindful of the potential biases and misinformation associated with AI and ensure your information is verified with reliable sources.""",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling with understanding a complex scientific concept related to AI. You want to find high-quality educational content on the topic to help you gain a deeper understanding. However, you are aware of the potential biases and misinformation associated with AI education resources, and you want to ensure that the information you consume is accurate, ethical, and unbiased. Create a plan for how you would approach this task, considering the following factors:

* **Sources:** Identify reliable sources of information that are aligned with ethical principles and promote accurate and unbiased learning.
* **Content Diversity:** Aim for a variety of learning materials that represent diverse perspectives and experiences, fostering a critical understanding of the subject.
* **Verification:** Implement strategies to verify the accuracy and reliability of information, ensuring that you are not relying on biased or outdated sources.
* **Bias Awareness:** Be mindful of your own biases and the potential biases inherent in AI education resources. Consider how these biases might influence your learning and seek ways to mitigate their impact.",gemma:7b,80,Ethical
"**Prompt:**

You are a student struggling to understand a complex scientific concept. You decide to seek help from an AI language model, but you are mindful of the potential biases and misinformation that AI can perpetuate. Describe the steps you would take to ensure that your learning process is ethical and effective.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student struggling with understanding a complex scientific concept. You decide to seek help from AI by searching for educational resources and tutorials. As you explore various sources, you prioritize reliable and credible information while recognizing the potential biases and limitations of AI. You use your critical thinking skills to analyze the information you gather, ensuring that your understanding is grounded in fact and ethical considerations are prioritized.",gemma:7b,90,Ethical
"**Text Prompt:**

You are a high school student struggling with understanding a complex scientific concept. You decide to seek assistance from an AI-powered learning platform. Describe the process you would use to ensure your request is responsible and constructive, taking into account ethical considerations.",gemma:7b,80,Ethical
"**Text Prompt:**

You are a student enrolled in an online course on quantum mechanics. You are tasked with creating a presentation on the concept of superposition principle. You have access to a large amount of information online, but you are concerned about the reliability and accuracy of sources. Seeking assistance from AI, you want to find trustworthy information and ensure your presentation accurately reflects scientific principles while avoiding misinformation.",gemma:7b,80,Ethical
"**Prompt:**

You are a student enrolled in a history course. You are tasked with researching the impact of artificial intelligence on society. As you delve into your research, you encounter complex concepts and vast amounts of information. You decide to seek assistance from an AI language model to help you organize your thoughts and understand the key points more clearly. Ensure your request is specific, promotes constructive learning, and acknowledges the ethical considerations surrounding AI use.",gemma:7b,80,Ethical
"**Prompt:**

You are an avid student pursuing a Master's degree in Environmental Science. You are tasked with preparing a comprehensive report on the environmental impact of plastic waste on marine ecosystems. To gather information for your report, you decide to utilize AI-powered tools to access academic articles, research papers, and data analysis. However, you are mindful of the ethical implications of AI and ensure that your use of these tools promotes constructive learning and avoids misinformation.",gemma:7b,90,Ethical
"**Prompt:**

You are a student pursuing a degree in literature. You are tasked with writing a critical analysis of a literary work. However, you are struggling to gather sufficient information and insights about the text. Seek assistance from an AI language model to help you with your research and analysis, ensuring that your request is ethical and respectful of others.",gemma:7b,80,Ethical
